id,region,year,quarter,balance,lst_pmnt
219,КИРОВСКАЯ ОБЛ,2018,2018Q4,84635.07,3521.9199999999996
220,КИРОВСКАЯ ОБЛ,2019,2019Q1,56758.42,1009.78
221,КИРОВСКАЯ ОБЛ,2020,2020Q4,232202.34999999998,3055.4800000000005
222,КИРОВСКАЯ ОБЛ,2021,2021Q1,537806.1,11138.439999999999
223,КИРОВСКАЯ ОБЛ,2022,2022Q2,1076402.7200000002,8824.02
224,КОМИ РЕСП,2018,2018Q1,1343381.5,22836.28
225,КОМИ РЕСП,2018,2018Q2,528312.78,11428.61
226,КОМИ РЕСП,2018,2018Q3,645249.86,53747.04
227,КОМИ РЕСП,2018,2018Q4,794181.1,23664.42
228,КОМИ РЕСП,2019,2019Q1,521539.11,21121.690000000002
229,КОМИ РЕСП,2019,2019Q2,777335.32,14078.660000000002
230,КОМИ РЕСП,2019,2019Q3,817462.86,44582.33
231,КОМИ РЕСП,2019,2019Q4,66587.24,816.02
232,КОМИ РЕСП,2020,2020Q4,2227634.29,263585.11
233,КОМИ РЕСП,2021,2021Q1,1933063.21,56078.29
234,КОМИ РЕСП,2021,2021Q2,1154461.68,16858.370000000003
235,КОМИ РЕСП,2021,2021Q3,761500.5,26975.73
236,КОМИ РЕСП,2021,2021Q4,783775.7899999999,42265.99
237,КОМИ РЕСП,2022,2022Q1,3736397.12,34199.1
238,КОМИ РЕСП,2022,2022Q2,1649935.0899999999,30038.380000000005
239,КОМИ РЕСП,2022,2022Q3,680303.08,8039.5
240,КОСТРОМСКАЯ ОБЛ,2018,2018Q1,2878.57,406.5
241,КОСТРОМСКАЯ ОБЛ,2018,2018Q2,124572.79,4384.55
242,КОСТРОМСКАЯ ОБЛ,2018,2018Q4,88761.84,1331.37
243,КОСТРОМСКАЯ ОБЛ,2020,2020Q4,204.36,1260.77
244,КОСТРОМСКАЯ ОБЛ,2021,2021Q1,55981.79,5263.49
245,КОСТРОМСКАЯ ОБЛ,2021,2021Q2,38271.06,3328.5
246,КРАСНОДАРСКИЙ КРАЙ,2018,2018Q1,3767718.83,62530.48
247,КРАСНОДАРСКИЙ КРАЙ,2018,2018Q2,3143986.34,145992.68
248,КРАСНОДАРСКИЙ КРАЙ,2018,2018Q3,3115002.0,68383.63
249,КРАСНОДАРСКИЙ КРАЙ,2018,2018Q4,4454893.24,73545.51
250,КРАСНОДАРСКИЙ КРАЙ,2019,2019Q1,2768704.66,51931.38
251,КРАСНОДАРСКИЙ КРАЙ,2019,2019Q2,4496570.42,85468.07
252,КРАСНОДАРСКИЙ КРАЙ,2019,2019Q3,2229540.43,42220.71
253,КРАСНОДАРСКИЙ КРАЙ,2019,2019Q4,735518.9400000001,58574.71
254,КРАСНОДАРСКИЙ КРАЙ,2020,2020Q1,692116.36,20616.59
255,КРАСНОДАРСКИЙ КРАЙ,2020,2020Q2,747325.36,13439.02
256,КРАСНОДАРСКИЙ КРАЙ,2020,2020Q3,4065.04,813.0
257,КРАСНОДАРСКИЙ КРАЙ,2020,2020Q4,8495475.55,982007.97
258,КРАСНОДАРСКИЙ КРАЙ,2021,2021Q1,8746288.42,195624.73
259,КРАСНОДАРСКИЙ КРАЙ,2021,2021Q2,5550300.0,227085.78
260,КРАСНОДАРСКИЙ КРАЙ,2021,2021Q3,5295823.17,111550.08
261,КРАСНОДАРСКИЙ КРАЙ,2021,2021Q4,5710123.08,205315.51
262,КРАСНОДАРСКИЙ КРАЙ,2022,2022Q1,2634839.88,110719.21
263,КРАСНОДАРСКИЙ КРАЙ,2022,2022Q2,6593961.6,198372.93
264,КРАСНОДАРСКИЙ КРАЙ,2022,2022Q3,4199506.54,110030.55
265,КРАСНОЯРСКИЙ КРАЙ,2018,2018Q1,2984621.14,55900.759999999995
266,КРАСНОЯРСКИЙ КРАЙ,2018,2018Q2,3007282.52,88962.92
267,КРАСНОЯРСКИЙ КРАЙ,2018,2018Q3,5384085.2,240003.55
268,КРАСНОЯРСКИЙ КРАЙ,2018,2018Q4,4480566.57,118356.17
269,КРАСНОЯРСКИЙ КРАЙ,2019,2019Q1,1453336.69,64433.61
270,КРАСНОЯРСКИЙ КРАЙ,2019,2019Q2,1642266.3,86592.98
271,КРАСНОЯРСКИЙ КРАЙ,2019,2019Q3,1281926.0,32612.61
272,КРАСНОЯРСКИЙ КРАЙ,2019,2019Q4,332529.56,5201.360000000001
273,КРАСНОЯРСКИЙ КРАЙ,2020,2020Q2,94759.08,2387.59
